City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
201,Upernavik,72.7868,-56.1549,40.26,92,41,11.25,GL,2022-07-18 01:29:23
202,Oriximina,-1.7656,-55.8661,78.93,66,30,3.0,BR,2022-07-18 01:29:23
203,Sambava,-14.2667,50.1667,68.94,82,5,12.08,MG,2022-07-18 01:29:24
204,Usinsk,65.9939,57.5281,63.84,85,97,1.19,RU,2022-07-18 01:29:24
205,Kavieng,-2.5744,150.7967,84.88,71,97,13.91,PG,2022-07-18 01:29:25
206,Marawi,7.9986,124.2928,73.9,88,100,1.99,PH,2022-07-18 01:29:25
207,Andros Town,24.7,-77.7667,80.56,79,25,16.87,BS,2022-07-18 01:29:25
208,Bengkulu,-3.8004,102.2655,78.67,76,9,3.58,ID,2022-07-18 01:29:26
209,Butaritari,3.0707,172.7902,82.35,73,11,13.09,KI,2022-07-18 01:29:26
210,Kamina,-8.7386,24.9906,57.24,51,8,5.12,CD,2022-07-18 01:29:27
211,Bolgar,54.95,49.0667,65.26,85,56,5.03,RU,2022-07-18 01:29:27
212,Kovur,14.4833,79.9833,83.07,66,100,10.0,IN,2022-07-18 01:29:28
213,Waipawa,-41.4122,175.5153,52.32,74,83,17.38,NZ,2022-07-18 01:29:28
214,Lazaro Cardenas,17.9583,-102.2,82.33,77,71,4.32,MX,2022-07-18 01:29:29
215,Sorland,67.667,12.6934,51.66,87,100,17.05,NO,2022-07-18 01:29:30
216,Contai,21.7786,87.7536,83.23,81,39,14.23,IN,2022-07-18 01:29:30
217,Vuktyl,63.8567,57.3094,60.89,87,16,0.65,RU,2022-07-18 01:29:31
218,Jasrana,27.25,78.6833,92.25,46,13,8.16,IN,2022-07-18 01:29:31
219,Saint George,37.1041,-113.5841,78.87,55,100,14.0,US,2022-07-18 01:25:26
220,Yima,34.7381,111.8839,83.57,47,99,4.59,CN,2022-07-18 01:29:32
221,College,64.8569,-147.8028,67.95,66,75,10.36,US,2022-07-18 01:29:32
222,Narsaq,60.9167,-46.05,52.02,83,43,1.52,GL,2022-07-18 01:29:32
223,Carutapera,-1.195,-46.02,75.47,91,5,5.64,BR,2022-07-18 01:29:33
224,The Valley,18.217,-63.0578,82.81,77,3,18.81,AI,2022-07-18 01:29:33
225,Anadyr,64.75,177.4833,48.7,42,40,29.08,RU,2022-07-18 01:29:34
226,Iquitos,-3.7481,-73.2472,75.24,100,40,2.3,PE,2022-07-18 01:29:34
